1,1,1
2,2,1
3,3,1
4,4,1
5,5,15
6,6,1
7,6,2
8,6,3
9,6,6
10,6,7
11,7,21
12,8,1
13,8,25
14,9,5
15,9,9
16,9,9
17,9,9
18,10,16
19,11,18
20,12,25
21,13,24
22,14,1
23,14,2
24,15,3
25,15,5
26,16,13
27,17,15
28,18,17
29,19,17
30,19,17
31,19,20
32,20,1
33,21,3
34,22,1
35,23,15
36,24,1
37,25,12
38,26,23
39,26,16
40,26,19
41,26,5
42,27,3
43,28,21
44,29,25
45,30,25
46,31,8
47,32,16
48,33,1
49,34,19
50,35,25
51,36,9
52,36,21
53,36,18
54,36,21
55,36,20
56,36,4
57,36,23
58,37,2
59,38,1
60,39,3
61,40,3
62,41,8
63,41,3
64,42,10
